Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Outlier
0171,0.758,0.536,4.0,-8.296,1.0,0.0528,0.309,0.0849,0.0927,0.237,102.003,4.0,1
16BL,0.7875,0.59,5.0,-10.841000000000001,0.5,0.0493,0.073885,0.7105,0.36944999999999995,0.578,119.4975,4.0,1
1tbsp,0.832,0.548,2.0,-10.601,1.0,0.0855,0.118,0.913,0.0802,0.376,125.003,4.0,1
4TLR,0.442,0.467,2.0,-10.612,1.0,0.0317,0.234,0.473,0.685,0.175,75.489,4.0,1
50 Cent,0.799,0.76,2.0,-3.318,1.0,0.222,0.271,0.0,0.185,0.543,99.994,4.0,1
A Flock Of Seagulls,0.537,0.815,2.0,-6.208,1.0,0.0348,0.000418,0.807,0.194,0.691,145.424,4.0,1
A$AP Mob,0.785,0.607,1.0,-5.103,1.0,0.0953,0.0554,0.0,0.179,0.168,128.077,4.0,1
A$AP Rocky,0.6428181818181818,0.6582727272727272,4.0,-7.862727272727272,0.9090909090909091,0.1719,0.16757818181818182,0.08058611818181818,0.19085454545454547,0.41552727272727275,128.71727272727273,3.727272727272727,1
A.M.R,0.682,0.675,1.0,-9.887,1.0,0.0388,0.00292,0.849,0.0465,0.362,120.009,4.0,1
AFROJACK,0.728,0.955,11.0,-2.427,0.0,0.0943,0.00288,0.0454,0.129,0.318,128.042,4.0,1
ARTBAT,0.731,0.592,10.0,-9.577,0.0,0.0639,0.00527,0.52,0.075,0.19,125.005,4.0,1
ATB,0.501,0.737,0.0,-6.551,1.0,0.0354,0.0147,0.212,0.368,0.082,127.989,4.0,1
ATTLAS,0.786,0.658,6.0,-6.956,0.0,0.0381,0.0387,0.443,0.148,0.335,125.0,4.0,1
Aaaron,0.853,0.661,8.0,-10.228,1.0,0.061,0.0488,0.476,0.0786,0.228,123.006,4.0,1
Adanowsky,0.5,0.285,2.0,-15.063,1.0,0.0288,0.754,0.153,0.115,0.104,137.122,4.0,1
Adrian Younge,0.532,0.735,2.0,-7.74,0.0,0.263,0.0266,1.33e-05,0.13,0.398,100.603,4.0,1
Adryiano,0.868,0.582,5.0,-10.667,0.0,0.0551,0.0281,0.696,0.318,0.301,122.975,4.0,1
Against Me!,0.524,0.876,6.5,-6.1705000000000005,0.5,0.05185,0.00415,0.000746,0.129,0.7484999999999999,127.8485,4.0,1
Agar Agar,0.779,0.646,0.0,-3.734,0.0,0.0914,0.434,0.00201,0.108,0.437,139.98,4.0,1
Aiiso,0.795,0.843,8.0,-9.758,1.0,0.0407,0.000785,0.885,0.423,0.155,125.016,4.0,1
AkaHendy,0.637,0.786,7.0,-8.047,1.0,0.0406,0.0219,0.487,0.0917,0.235,170.007,4.0,1
Al'Tarba,0.547,0.592,8.0,-6.371,1.0,0.173,0.0741,0.131,0.134,0.217,176.823,4.0,1
Alan Vega,0.517,0.77,9.0,-8.202,1.0,0.026,0.0011,0.736,0.306,0.765,111.98,4.0,1
Alarm Will Sound,0.658,0.59,6.0,-9.409,1.0,0.105,0.136,0.796,0.0906,0.82,179.978,4.0,1
Albert Pla,0.794,0.496,0.0,-11.891,1.0,0.0613,0.723,0.000597,0.0941,0.836,102.076,4.0,1
Alborosie,0.767,0.732,7.0,-5.008,0.0,0.282,0.056,4.73e-06,0.0688,0.871,75.005,4.0,1
Alec Troniq,0.8485,0.42900000000000005,3.5,-11.518,1.0,0.132,0.11275,0.5695,0.439,0.3075,120.275,4.0,1
Alejandro Sanz,0.673,0.753,7.0,-5.002,1.0,0.119,0.272,0.0,0.071,0.424,120.057,4.0,1
Alessi Brothers,0.733,0.384,0.0,-13.177,0.0,0.0306,0.136,7.97e-05,0.0979,0.609,126.023,4.0,1
Alex Boyé,0.423,0.633,1.0,-9.874,1.0,0.189,0.0437,0.000182,0.241,0.26,191.75,4.0,1
Alex G,0.215,0.978,6.0,-3.664,0.0,0.299,0.000411,0.11,0.512,0.218,165.762,4.0,1
